,TRENDING,MEAN_REVERTING,HIGH_VOLATILITY,LOW_VOLATILITY
TRENDING,0.0,0.0913,0.7016,0.2071
MEAN_REVERTING,0.4101,0.0,0.4187,0.1713
HIGH_VOLATILITY,0.7742,0.0957,0.0,0.1301
LOW_VOLATILITY,0.5779,0.0915,0.3306,0.0
