from_regime,to_regime,n_events,n_pre_trades,n_post_trades,pf_pre,pf_post,delta_pf,recovery_bars,degrades,asset,hypothesis
LOW_VOLATILITY,HIGH_VOLATILITY,115,26,60,1.432,1.488,0.0557,6.4,False,DXY,MR_RSI_Exhaust
MEAN_REVERTING,TRENDING,67,35,34,1.182,1.067,-0.1156,6.1,True,DXY,MR_RSI_Exhaust
TRENDING,MEAN_REVERTING,67,44,38,0.88,1.386,0.5062,4.8,False,DXY,MR_RSI_Exhaust
MEAN_REVERTING,HIGH_VOLATILITY,51,25,31,1.091,0.908,-0.1827,5.9,True,DXY,MR_RSI_Exhaust
HIGH_VOLATILITY,MEAN_REVERTING,47,29,17,1.079,0.938,-0.1407,2.5,True,DXY,MR_RSI_Exhaust
LOW_VOLATILITY,MEAN_REVERTING,12,6,8,2.379,0.565,-1.814,3.8,True,DXY,MR_RSI_Exhaust
MEAN_REVERTING,LOW_VOLATILITY,9,3,3,,,,,,DXY,MR_RSI_Exhaust
HIGH_VOLATILITY,TRENDING,198,82,150,0.786,1.653,0.8675,11.2,False,EURUSD,MR_RSI_Exhaust
TRENDING,HIGH_VOLATILITY,196,167,81,1.617,0.901,-0.7158,5.3,True,EURUSD,MR_RSI_Exhaust
LOW_VOLATILITY,TRENDING,164,58,151,1.131,1.23,0.0988,11.5,False,EURUSD,MR_RSI_Exhaust
TRENDING,LOW_VOLATILITY,162,135,56,1.082,1.232,0.1498,4.9,False,EURUSD,MR_RSI_Exhaust
MEAN_REVERTING,HIGH_VOLATILITY,137,141,58,2.067,1.469,-0.5982,5.8,True,EURUSD,MR_RSI_Exhaust
HIGH_VOLATILITY,MEAN_REVERTING,130,50,109,2.401,1.144,-1.2563,12.0,True,EURUSD,MR_RSI_Exhaust
LOW_VOLATILITY,MEAN_REVERTING,97,37,118,1.113,1.002,-0.1111,13.1,True,EURUSD,MR_RSI_Exhaust
MEAN_REVERTING,LOW_VOLATILITY,95,58,34,1.1,1.087,-0.0124,5.4,False,EURUSD,MR_RSI_Exhaust
TRENDING,MEAN_REVERTING,63,70,65,1.231,1.599,0.3679,13.9,False,EURUSD,MR_RSI_Exhaust
MEAN_REVERTING,TRENDING,59,97,71,0.745,0.832,0.0872,16.1,False,EURUSD,MR_RSI_Exhaust
HIGH_VOLATILITY,LOW_VOLATILITY,15,8,6,0.711,0.58,-0.1308,4.9,True,EURUSD,MR_RSI_Exhaust
LOW_VOLATILITY,HIGH_VOLATILITY,10,1,1,,,,,,EURUSD,MR_RSI_Exhaust
HIGH_VOLATILITY,TRENDING,198,169,272,1.149,1.448,0.2992,11.2,False,EURUSD,MR_EMA_Dist
TRENDING,HIGH_VOLATILITY,196,364,157,1.373,1.144,-0.2294,5.3,True,EURUSD,MR_EMA_Dist
LOW_VOLATILITY,TRENDING,164,83,289,1.475,1.16,-0.3154,11.5,True,EURUSD,MR_EMA_Dist
TRENDING,LOW_VOLATILITY,162,238,71,1.015,1.306,0.2916,4.9,False,EURUSD,MR_EMA_Dist
MEAN_REVERTING,HIGH_VOLATILITY,137,287,115,1.547,1.419,-0.1282,5.8,True,EURUSD,MR_EMA_Dist
HIGH_VOLATILITY,MEAN_REVERTING,130,92,202,1.964,1.037,-0.9272,12.0,True,EURUSD,MR_EMA_Dist
LOW_VOLATILITY,MEAN_REVERTING,97,46,216,0.637,1.075,0.4375,13.1,False,EURUSD,MR_EMA_Dist
MEAN_REVERTING,LOW_VOLATILITY,95,99,49,0.823,0.799,-0.0238,5.4,False,EURUSD,MR_EMA_Dist
TRENDING,MEAN_REVERTING,63,111,125,1.411,1.329,-0.0826,13.9,True,EURUSD,MR_EMA_Dist
MEAN_REVERTING,TRENDING,59,163,152,0.893,0.994,0.1009,16.1,False,EURUSD,MR_EMA_Dist
HIGH_VOLATILITY,LOW_VOLATILITY,15,13,11,0.468,2.013,1.5446,4.9,False,EURUSD,MR_EMA_Dist
LOW_VOLATILITY,HIGH_VOLATILITY,10,2,2,,,,,,EURUSD,MR_EMA_Dist
HIGH_VOLATILITY,TRENDING,192,78,186,0.996,0.964,-0.032,11.1,False,ITUB4,MR_RSI_Exhaust
