key,asset,hypothesis,streak_length,n_observations,n_loss_follows,p_loss,p_win,risk_elevated
ITUB4_MR_RSI_Exhaust,ITUB4,MR_RSI_Exhaust,5,60,43,0.7131,0.2869,True
ITUB4_MR_RSI_Exhaust,ITUB4,MR_RSI_Exhaust,6,42,30,0.7093,0.2907,True
ITUB4_MR_RSI_Exhaust,ITUB4,MR_RSI_Exhaust,7,29,20,0.6833,0.3167,True
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,1,1334,852,0.6386,0.3614,False
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,2,852,543,0.6372,0.3628,False
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,3,543,336,0.6186,0.3814,False
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,4,336,197,0.5861,0.4139,False
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,5,197,113,0.5732,0.4268,False
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,6,113,62,0.5482,0.4518,False
BTC_MR_EMA_Dist,BTC,MR_EMA_Dist,7,62,32,0.5159,0.4841,False
PETR4_TF_EMA_Slope,PETR4,TF_EMA_Slope,1,199,108,0.5425,0.4575,False
PETR4_TF_EMA_Slope,PETR4,TF_EMA_Slope,2,108,63,0.5826,0.4174,False
PETR4_TF_EMA_Slope,PETR4,TF_EMA_Slope,3,63,33,0.5234,0.4766,False
PETR4_TF_EMA_Slope,PETR4,TF_EMA_Slope,4,33,18,0.5441,0.4559,False
PETR4_TF_EMA_Slope,PETR4,TF_EMA_Slope,5,18,10,0.5526,0.4474,False
PETR4_TF_EMA_Slope,PETR4,TF_EMA_Slope,6,10,7,0.6818,0.3182,True
PETR4_TF_EMA_Slope,PETR4,TF_EMA_Slope,7,7,5,0.6875,0.3125,True
GOLD_TF_EMA_Slope,GOLD,TF_EMA_Slope,1,587,352,0.5995,0.4005,False
GOLD_TF_EMA_Slope,GOLD,TF_EMA_Slope,2,352,219,0.6218,0.3782,False
GOLD_TF_EMA_Slope,GOLD,TF_EMA_Slope,3,219,137,0.625,0.375,False
GOLD_TF_EMA_Slope,GOLD,TF_EMA_Slope,4,137,83,0.6051,0.3949,False
GOLD_TF_EMA_Slope,GOLD,TF_EMA_Slope,5,83,51,0.6131,0.3869,False
GOLD_TF_EMA_Slope,GOLD,TF_EMA_Slope,6,51,32,0.625,0.375,False
GOLD_TF_EMA_Slope,GOLD,TF_EMA_Slope,7,32,16,0.5,0.5,False
SPY_MR_BB_Stretch,SPY,MR_BB_Stretch,1,250,157,0.6275,0.3725,False
SPY_MR_BB_Stretch,SPY,MR_BB_Stretch,2,157,99,0.6297,0.3703,False
SPY_MR_BB_Stretch,SPY,MR_BB_Stretch,3,99,63,0.635,0.365,False
SPY_MR_BB_Stretch,SPY,MR_BB_Stretch,4,63,41,0.6484,0.3516,False
SPY_MR_BB_Stretch,SPY,MR_BB_Stretch,5,41,27,0.6548,0.3452,True
SPY_MR_BB_Stretch,SPY,MR_BB_Stretch,6,27,17,0.625,0.375,False
SPY_MR_BB_Stretch,SPY,MR_BB_Stretch,7,17,11,0.6389,0.3611,False
