,TRENDING,MEAN_REVERTING,HIGH_VOLATILITY,LOW_VOLATILITY
TRENDING,0,698,5365,1584
MEAN_REVERTING,668,0,682,279
HIGH_VOLATILITY,5385,666,0,905
LOW_VOLATILITY,1598,253,914,0
