key,asset,hypothesis,start_idx,end_idx,depth,cum_pnl,entry_time,exit_time
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,4,6,3,-1098.78,2024-05-14 07:00:00+00:00,2024-05-14 15:00:00+00:00
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,8,12,5,-2191.37,2024-05-15 10:00:00+00:00,2024-05-15 19:00:00+00:00
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,14,15,2,-631.92,2024-05-17 07:00:00+00:00,2024-05-17 10:00:00+00:00
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,17,18,2,-496.18,2024-05-18 04:00:00+00:00,2024-05-19 08:00:00+00:00
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,26,29,4,-1912.97,2024-05-23 06:00:00+00:00,2024-05-24 02:00:00+00:00
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,40,41,2,-520.23,2024-06-01 07:00:00+00:00,2024-06-03 07:00:00+00:00
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,43,46,4,-1468.36,2024-06-04 16:00:00+00:00,2024-06-07 10:00:00+00:00
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,50,53,4,-1733.14,2024-06-11 05:00:00+00:00,2024-06-11 14:00:00+00:00
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,55,56,2,-598.81,2024-06-12 11:00:00+00:00,2024-06-12 13:00:00+00:00
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,58,59,2,-1067.04,2024-06-13 05:00:00+00:00,2024-06-13 16:00:00+00:00
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,61,63,3,-709.43,2024-06-15 07:00:00+00:00,2024-06-17 10:00:00+00:00
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,65,66,2,-818.4,2024-06-18 13:00:00+00:00,2024-06-18 17:00:00+00:00
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,68,69,2,-659.08,2024-06-19 05:00:00+00:00,2024-06-20 08:00:00+00:00
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,71,74,4,-1175.99,2024-06-21 01:00:00+00:00,2024-06-21 13:00:00+00:00
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,77,85,9,-3126.82,2024-06-23 21:00:00+00:00,2024-06-24 18:00:00+00:00
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,87,89,3,-998.84,2024-06-25 10:00:00+00:00,2024-06-27 04:00:00+00:00
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,91,92,2,-612.78,2024-06-28 16:00:00+00:00,2024-06-28 19:00:00+00:00
BTC_MR_RSI_Exhaust,BTC,MR_RSI_Exhaust,97,100,4,-952.39,2024-06-30 14:00:00+00:00,2024-06-30 23:00:00+00:00
