,TRENDING,MEAN_REVERTING,HIGH_VOLATILITY,LOW_VOLATILITY
TRENDING,0.0,0.0929,0.6959,0.2112
MEAN_REVERTING,0.4878,0.0,0.3893,0.1228
HIGH_VOLATILITY,0.7701,0.1017,0.0,0.1283
LOW_VOLATILITY,0.5749,0.0658,0.3594,0.0
