asset,MR_BB_Stretch,MR_EMA_Dist,MR_RSI_Exhaust,TF_Breakout_20,TF_EMA_Slope,TF_Momentum,VOL_ATR_Expand,VOL_Range_Bkout
EURUSD,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA
GOLD,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA
IBOV,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA
ITUB4,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA
NASDAQ,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA
PETR4,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA,SKIP_NO_DATA
