hypothesis,group,avg_robustness,avg_pf_test,avg_pf_oos,avg_sharpe,n_pass,n_assets
MR_BB_Stretch,mean_reversion,0.0000,0.0000,0.0000,0.0000,0,6
MR_EMA_Dist,mean_reversion,0.0000,0.0000,0.0000,0.0000,0,6
MR_RSI_Exhaust,mean_reversion,0.0000,0.0000,0.0000,0.0000,0,6
TF_Breakout_20,trend_follow,0.0000,0.0000,0.0000,0.0000,0,6
TF_EMA_Slope,trend_follow,0.0000,0.0000,0.0000,0.0000,0,6
TF_Momentum,trend_follow,0.0000,0.0000,0.0000,0.0000,0,6
VOL_ATR_Expand,volatility,0.0000,0.0000,0.0000,0.0000,0,6
VOL_Range_Bkout,volatility,0.0000,0.0000,0.0000,0.0000,0,6
