hypothesis,asset,regime,n_test,n_oos,pf_test,pf_oos,degradation,stable
TF_Momentum,GOLD,TRENDING,195,275,1.381,1.161,-0.1597,False
TF_EMA_Slope,QQQ,HIGH_VOLATILITY,47,78,0.786,0.663,-0.1566,False
TF_Momentum,SPY,HIGH_VOLATILITY,56,79,0.746,0.632,-0.1529,False
MR_BB_Stretch,QQQ,TRENDING,81,102,0.923,0.787,-0.1478,True
MR_EMA_Dist,SPY,TRENDING,84,90,1.247,1.066,-0.1452,True
MR_BB_Stretch,QQQ,HIGH_VOLATILITY,52,68,1.882,1.622,-0.1378,True
MR_RSI_Exhaust,DXY,TRENDING,204,225,1.224,1.055,-0.1377,True
MR_BB_Stretch,DXY,HIGH_VOLATILITY,162,207,1.165,1.007,-0.1359,True
TF_Breakout_20,BTC,TRENDING,220,278,1.023,0.892,-0.1279,True
MR_BB_Stretch,SPY,TRENDING,71,84,1.188,1.041,-0.1241,True
MR_EMA_Dist,DXY,HIGH_VOLATILITY,205,253,1.143,1.004,-0.1211,True
MR_BB_Stretch,BTC,HIGH_VOLATILITY,318,332,1.211,1.066,-0.1197,True
TF_Momentum,DXY,HIGH_VOLATILITY,180,223,1.093,0.962,-0.1195,True
MR_BB_Stretch,GOLD,HIGH_VOLATILITY,153,187,1.028,0.908,-0.1166,True
MR_EMA_Dist,NASDAQ,HIGH_VOLATILITY,210,250,1.126,1.0,-0.1119,True
TF_Momentum,IBOV,TRENDING,68,114,1.094,0.972,-0.1119,True
TF_Breakout_20,GOLD,TRENDING,164,198,1.04,0.928,-0.1083,True
TF_Momentum,NASDAQ,TRENDING,168,227,1.025,0.92,-0.1032,True
MR_RSI_Exhaust,GOLD,MEAN_REVERTING,26,20,1.205,1.096,-0.0904,True
MR_EMA_Dist,BTC,HIGH_VOLATILITY,388,414,1.194,1.089,-0.088,True
TF_Breakout_20,DXY,TRENDING,159,191,1.021,0.935,-0.0842,True
VOL_Range_Bkout,NASDAQ,LOW_VOLATILITY,133,153,1.191,1.091,-0.084,True
MR_BB_Stretch,DXY,TRENDING,213,258,1.232,1.131,-0.0821,True
