asset,category,hypothesis,group,oos_verdict,robustness,pf_degradation,period,regime,n_trades,pf,sharpe,win_rate,expectancy,max_dd
EURUSD,forex,TF_Momentum,trend_follow,FAIL,0.1718,0.3257,test,HIGH_VOLATILITY,144,0.7469,-0.1317,0.3333,-4.2151,863.26
EURUSD,forex,TF_Momentum,trend_follow,FAIL,0.1718,0.3257,test,LOW_VOLATILITY,45,1.3677,0.1362,0.4222,2.8889,87.91
EURUSD,forex,TF_Momentum,trend_follow,FAIL,0.1718,0.3257,test,MEAN_REVERTING,34,0.752,-0.1341,0.3235,-3.4406,190.4
EURUSD,forex,TF_Momentum,trend_follow,FAIL,0.1718,0.3257,test,TRENDING,252,0.7975,-0.0994,0.3214,-3.0614,785.47
EURUSD,forex,TF_Momentum,trend_follow,FAIL,0.1718,0.3257,oos,HIGH_VOLATILITY,146,1.0845,0.0383,0.4315,1.1401,395.11
EURUSD,forex,TF_Momentum,trend_follow,FAIL,0.1718,0.3257,oos,LOW_VOLATILITY,28,0.4962,-0.3378,0.25,-5.9025,148.42
EURUSD,forex,TF_Momentum,trend_follow,FAIL,0.1718,0.3257,oos,MEAN_REVERTING,74,1.1726,0.0741,0.4054,1.7568,195.45
EURUSD,forex,TF_Momentum,trend_follow,FAIL,0.1718,0.3257,oos,TRENDING,301,1.0916,0.0406,0.3953,1.0148,264.66
EURUSD,forex,TF_Breakout_20,trend_follow,FAIL,0.2577,0.1432,test,HIGH_VOLATILITY,113,0.6785,-0.1765,0.3186,-5.7535,866.39
EURUSD,forex,TF_Breakout_20,trend_follow,FAIL,0.2577,0.1432,test,LOW_VOLATILITY,41,1.1393,0.0571,0.3902,1.3041,85.75
EURUSD,forex,TF_Breakout_20,trend_follow,FAIL,0.2577,0.1432,test,MEAN_REVERTING,21,0.8107,-0.0968,0.3333,-2.4252,155.78
EURUSD,forex,TF_Breakout_20,trend_follow,FAIL,0.2577,0.1432,test,TRENDING,178,0.8117,-0.0923,0.3258,-2.7172,537.4
EURUSD,forex,TF_Breakout_20,trend_follow,FAIL,0.2577,0.1432,oos,HIGH_VOLATILITY,96,0.9498,-0.0241,0.3958,-0.6878,342.11
EURUSD,forex,TF_Breakout_20,trend_follow,FAIL,0.2577,0.1432,oos,LOW_VOLATILITY,25,1.1351,0.058,0.4,1.1232,53.84
EURUSD,forex,TF_Breakout_20,trend_follow,FAIL,0.2577,0.1432,oos,MEAN_REVERTING,54,1.2674,0.1094,0.4259,2.5667,109.84
EURUSD,forex,TF_Breakout_20,trend_follow,FAIL,0.2577,0.1432,oos,TRENDING,236,0.7897,-0.1097,0.322,-2.5969,766.45
EURUSD,forex,VOL_ATR_Expand,volatility,DEGRADED,0.234,-0.2142,test,HIGH_VOLATILITY,60,1.0757,0.032,0.3333,0.9497,240.11
EURUSD,forex,VOL_ATR_Expand,volatility,DEGRADED,0.234,-0.2142,oos,HIGH_VOLATILITY,48,0.8453,-0.0774,0.3333,-1.9069,214.65
EURUSD,forex,VOL_Range_Bkout,volatility,FAIL,0.2421,0.269,test,HIGH_VOLATILITY,32,0.725,-0.1434,0.2812,-2.3231,159.7
EURUSD,forex,VOL_Range_Bkout,volatility,FAIL,0.2421,0.269,test,LOW_VOLATILITY,166,0.927,-0.0327,0.2831,-0.5201,274.74
EURUSD,forex,VOL_Range_Bkout,volatility,FAIL,0.2421,0.269,oos,HIGH_VOLATILITY,31,1.3396,0.1162,0.2903,1.949,67.43
EURUSD,forex,VOL_Range_Bkout,volatility,FAIL,0.2421,0.269,oos,LOW_VOLATILITY,125,1.0796,0.0338,0.312,0.4846,118.19
GOLD,commodity,MR_BB_Stretch,mean_reversion,FAIL,0.2389,0.0913,test,HIGH_VOLATILITY,153,1.0282,0.0116,0.3399,1.8937,1927.17
GOLD,commodity,MR_BB_Stretch,mean_reversion,FAIL,0.2389,0.0913,test,LOW_VOLATILITY,20,1.7696,0.2571,0.5,22.9065,191.28
GOLD,commodity,MR_BB_Stretch,mean_reversion,FAIL,0.2389,0.0913,test,MEAN_REVERTING,22,1.0111,0.0044,0.3182,0.9323,857.21
GOLD,commodity,MR_BB_Stretch,mean_reversion,FAIL,0.2389,0.0913,test,TRENDING,215,0.802,-0.0944,0.2977,-12.4988,4606.13
GOLD,commodity,MR_BB_Stretch,mean_reversion,FAIL,0.2389,0.0913,oos,HIGH_VOLATILITY,187,0.9083,-0.0346,0.2781,-13.1054,4470.57
GOLD,commodity,MR_BB_Stretch,mean_reversion,FAIL,0.2389,0.0913,oos,LOW_VOLATILITY,28,1.1853,0.0497,0.25,19.0861,1461.29
GOLD,commodity,MR_BB_Stretch,mean_reversion,FAIL,0.2389,0.0913,oos,MEAN_REVERTING,14,1.205,0.0691,0.3571,21.1436,1117.29
GOLD,commodity,MR_BB_Stretch,mean_reversion,FAIL,0.2389,0.0913,oos,TRENDING,256,1.077,0.0287,0.3203,9.0995,3387.21
GOLD,commodity,MR_EMA_Dist,mean_reversion,FAIL,0.1916,0.1602,test,HIGH_VOLATILITY,172,1.0047,0.0019,0.3372,0.3095,2493.89
GOLD,commodity,MR_EMA_Dist,mean_reversion,FAIL,0.1916,0.1602,test,LOW_VOLATILITY,16,1.09,0.0377,0.375,3.4594,219.5
GOLD,commodity,MR_EMA_Dist,mean_reversion,FAIL,0.1916,0.1602,test,MEAN_REVERTING,26,1.2965,0.1075,0.4231,23.0031,857.21
GOLD,commodity,MR_EMA_Dist,mean_reversion,FAIL,0.1916,0.1602,test,TRENDING,277,0.7117,-0.1455,0.296,-19.7924,6061.05
GOLD,commodity,MR_EMA_Dist,mean_reversion,FAIL,0.1916,0.1602,oos,HIGH_VOLATILITY,221,0.9742,-0.0095,0.3077,-3.7005,6342.3
GOLD,commodity,MR_EMA_Dist,mean_reversion,FAIL,0.1916,0.1602,oos,LOW_VOLATILITY,33,0.397,-0.3915,0.2121,-69.1455,2386.37
GOLD,commodity,MR_EMA_Dist,mean_reversion,FAIL,0.1916,0.1602,oos,MEAN_REVERTING,17,1.01,0.0039,0.3529,1.2365,1388.14
GOLD,commodity,MR_EMA_Dist,mean_reversion,FAIL,0.1916,0.1602,oos,TRENDING,307,1.0673,0.0247,0.3127,8.183,4668.31
GOLD,commodity,MR_RSI_Exhaust,mean_reversion,FAIL,0.2046,0.2935,test,HIGH_VOLATILITY,116,0.9962,-0.0015,0.319,-0.2966,1766.57
GOLD,commodity,MR_RSI_Exhaust,mean_reversion,FAIL,0.2046,0.2935,test,LOW_VOLATILITY,33,0.6696,-0.1794,0.2727,-14.0742,481.59
GOLD,commodity,MR_RSI_Exhaust,mean_reversion,FAIL,0.2046,0.2935,test,MEAN_REVERTING,26,1.205,0.0766,0.3846,16.6404,671.85
GOLD,commodity,MR_RSI_Exhaust,mean_reversion,FAIL,0.2046,0.2935,test,TRENDING,197,0.6904,-0.1467,0.264,-22.7677,5462.34
GOLD,commodity,MR_RSI_Exhaust,mean_reversion,FAIL,0.2046,0.2935,oos,HIGH_VOLATILITY,152,0.9681,-0.0118,0.3224,-4.8414,3977.37
GOLD,commodity,MR_RSI_Exhaust,mean_reversion,FAIL,0.2046,0.2935,oos,LOW_VOLATILITY,31,0.8655,-0.0571,0.3226,-15.4203,2180.81
GOLD,commodity,MR_RSI_Exhaust,mean_reversion,FAIL,0.2046,0.2935,oos,MEAN_REVERTING,20,1.0961,0.035,0.35,11.376,1388.14
GOLD,commodity,MR_RSI_Exhaust,mean_reversion,FAIL,0.2046,0.2935,oos,TRENDING,254,1.1828,0.0647,0.3386,21.2674,3360.92
GOLD,commodity,TF_EMA_Slope,trend_follow,OOS_PASS,0.478,-0.0112,test,HIGH_VOLATILITY,153,0.958,-0.0176,0.3791,-4.3163,2024.07
GOLD,commodity,TF_EMA_Slope,trend_follow,OOS_PASS,0.478,-0.0112,test,LOW_VOLATILITY,15,0.8249,-0.0876,0.3333,-8.834,345.33
GOLD,commodity,TF_EMA_Slope,trend_follow,OOS_PASS,0.478,-0.0112,test,MEAN_REVERTING,13,2.5551,0.3834,0.5385,104.9292,463.82
GOLD,commodity,TF_EMA_Slope,trend_follow,OOS_PASS,0.478,-0.0112,test,TRENDING,191,1.2958,0.1096,0.4398,23.9483,2046.72
GOLD,commodity,TF_EMA_Slope,trend_follow,OOS_PASS,0.478,-0.0112,oos,HIGH_VOLATILITY,171,1.0346,0.0128,0.3977,7.6791,9588.53
GOLD,commodity,TF_EMA_Slope,trend_follow,OOS_PASS,0.478,-0.0112,oos,LOW_VOLATILITY,14,1.5791,0.1688,0.3571,70.4314,994.46
GOLD,commodity,TF_EMA_Slope,trend_follow,OOS_PASS,0.478,-0.0112,oos,MEAN_REVERTING,9,1.1084,0.0401,0.3333,18.6211,1347.22
GOLD,commodity,TF_EMA_Slope,trend_follow,OOS_PASS,0.478,-0.0112,oos,TRENDING,253,1.2276,0.0825,0.419,36.9987,3004.39
GOLD,commodity,TF_Momentum,trend_follow,OOS_PASS,0.8702,-0.1068,test,HIGH_VOLATILITY,152,0.9786,-0.0089,0.3947,-2.2422,2213.86
GOLD,commodity,TF_Momentum,trend_follow,OOS_PASS,0.8702,-0.1068,test,LOW_VOLATILITY,13,0.9928,-0.0033,0.3846,-0.3392,336.19
GOLD,commodity,TF_Momentum,trend_follow,OOS_PASS,0.8702,-0.1068,test,MEAN_REVERTING,16,2.7149,0.407,0.5625,103.4,262.5
GOLD,commodity,TF_Momentum,trend_follow,OOS_PASS,0.8702,-0.1068,test,TRENDING,195,1.3811,0.1324,0.4359,30.1859,1614.72
GOLD,commodity,TF_Momentum,trend_follow,OOS_PASS,0.8702,-0.1068,oos,HIGH_VOLATILITY,181,1.0451,0.0168,0.4033,9.743,8022.68
GOLD,commodity,TF_Momentum,trend_follow,OOS_PASS,0.8702,-0.1068,oos,LOW_VOLATILITY,13,0.7469,-0.1276,0.3846,-43.5454,937.29
GOLD,commodity,TF_Momentum,trend_follow,OOS_PASS,0.8702,-0.1068,oos,MEAN_REVERTING,11,0.77,-0.1059,0.3636,-56.5627,2137.0
GOLD,commodity,TF_Momentum,trend_follow,OOS_PASS,0.8702,-0.1068,oos,TRENDING,275,1.1605,0.0606,0.4182,26.8744,3457.77
GOLD,commodity,TF_Breakout_20,trend_follow,OOS_PASS,0.4034,-0.0288,test,HIGH_VOLATILITY,102,1.082,0.0322,0.4216,7.8255,2685.6
GOLD,commodity,TF_Breakout_20,trend_follow,OOS_PASS,0.4034,-0.0288,test,LOW_VOLATILITY,12,0.7872,-0.1105,0.3333,-10.5483,191.25
GOLD,commodity,TF_Breakout_20,trend_follow,OOS_PASS,0.4034,-0.0288,test,MEAN_REVERTING,7,2.2028,0.3313,0.5714,77.21,203.68
GOLD,commodity,TF_Breakout_20,trend_follow,OOS_PASS,0.4034,-0.0288,test,TRENDING,164,1.0404,0.0166,0.3902,3.6304,1896.71
GOLD,commodity,TF_Breakout_20,trend_follow,OOS_PASS,0.4034,-0.0288,oos,HIGH_VOLATILITY,135,1.2156,0.0744,0.4148,41.7751,5374.03
GOLD,commodity,TF_Breakout_20,trend_follow,OOS_PASS,0.4034,-0.0288,oos,LOW_VOLATILITY,14,1.4106,0.1498,0.5,53.3057,762.1
GOLD,commodity,TF_Breakout_20,trend_follow,OOS_PASS,0.4034,-0.0288,oos,MEAN_REVERTING,9,0.4456,-0.3406,0.3333,-137.0,1591.0
GOLD,commodity,TF_Breakout_20,trend_follow,OOS_PASS,0.4034,-0.0288,oos,TRENDING,198,0.9277,-0.0317,0.3889,-12.834,7706.49
GOLD,commodity,VOL_ATR_Expand,volatility,OOS_PASS,0.2515,0.0063,test,HIGH_VOLATILITY,37,1.0781,0.0331,0.4595,6.89,1179.87
