asset,asset_name,category,hypothesis,group,description,test_pf,test_sharpe,test_max_dd,test_trades,test_wr,test_expectancy,oos_pf,oos_sharpe,oos_max_dd,oos_trades,oos_wr,oos_expectancy,oos_verdict,robustness,rob_verdict,mc_prob_profit,mc_pnl_mean,mc_dd_95pct,dominant_regime,pct_trending,pct_mean_rev,pct_high_vol,pct_low_vol
NASDAQ,NASDAQ Futures,index,MR_EMA_Dist,mean_reversion,MR entry when price > 1.5 ATR from EMA50,1.0370,0.0150,1514.7000,537,0.3445,1.7800,1.0580,0.0240,2981.2000,628,0.3487,2.6800,OOS_PASS,0.3703,WEAK,0.5940,772.5000,5615.7000,TRENDING,0.4562,0.0223,0.3911,0.1304
PETR4,Petrobras,brazil_equity,VOL_Range_Bkout,volatility,Enter in bias direction after ATR compression (< 0.7x mean),0.2450,-0.6520,121.9000,11,0.0909,-12.9300,2.5080,0.4100,116.3000,12,0.5833,20.4500,FAIL,0.3363,WEAK,0.0360,-138.9000,200.4000,HIGH_VOLATILITY,0.0000,0.0000,0.5455,0.4545
ITUB4,Itau Unibanco,brazil_equity,VOL_ATR_Expand,volatility,Enter in bias direction when ATR > 1.5x rolling mean,1.9420,0.2880,66.2000,6,0.5000,14.3800,0.0000,0.0000,0.0000,0,0.0000,0.0000,DEGRADED,0.3236,WEAK,0.7400,82.9000,128.2000,HIGH_VOLATILITY,0.0000,0.0000,1.0000,0.0000
ITUB4,Itau Unibanco,brazil_equity,TF_Breakout_20,trend_follow,Breakout: close > max or < min of last 20 candles,0.8680,-0.0660,433.7000,88,0.3295,-2.8100,1.0060,0.0030,898.9000,129,0.3798,0.1700,FAIL,0.2995,FRAGILE,0.2780,-242.6000,1073.6000,TRENDING,0.5568,0.0341,0.3864,0.0227
NASDAQ,NASDAQ Futures,index,TF_EMA_Slope,trend_follow,Trend follow: EMA20 slope direction + price above/below EMA20,0.9940,-0.0030,3975.6000,399,0.4035,-0.4400,1.0020,0.0010,3257.8000,497,0.3823,0.1400,FAIL,0.2917,FRAGILE,0.5000,-13.5000,6857.0000,HIGH_VOLATILITY,0.4085,0.0276,0.4787,0.0852
NASDAQ,NASDAQ Futures,index,TF_Momentum,trend_follow,Trend follow: 10-bar momentum > 0.5x ATR,0.9920,-0.0030,2818.9000,418,0.3852,-0.5700,0.9890,-0.0050,4159.8000,497,0.3742,-0.7900,FAIL,0.2873,FRAGILE,0.4780,-256.0000,7539.6000,HIGH_VOLATILITY,0.4019,0.0215,0.4809,0.0957
IBOV,Ibovespa,index,TF_Breakout_20,trend_follow,Breakout: close > max or < min of last 20 candles,1.1130,0.0500,8782.1000,89,0.4157,57.8600,1.1740,0.0730,28438.1000,126,0.4524,109.4300,OOS_PASS,0.2836,FRAGILE,0.6740,5248.1000,19236.7000,TRENDING,0.5169,0.0449,0.4157,0.0225
ITUB4,Itau Unibanco,brazil_equity,TF_EMA_Slope,trend_follow,Trend follow: EMA20 slope direction + price above/below EMA20,0.9860,-0.0060,516.5000,121,0.3802,-0.2800,0.9430,-0.0270,1000.2000,197,0.3452,-1.5700,FAIL,0.2825,FRAGILE,0.4540,-14.2000,1026.4000,TRENDING,0.6694,0.0083,0.3058,0.0165
ITUB4,Itau Unibanco,brazil_equity,TF_Momentum,trend_follow,Trend follow: 10-bar momentum > 0.5x ATR,1.0870,0.0380,469.7000,116,0.3879,1.7600,1.0000,0.0000,779.4000,200,0.3700,0.0000,OOS_PASS,0.2786,FRAGILE,0.6680,203.4000,872.5000,TRENDING,0.6293,0.0345,0.3276,0.0086
ITUB4,Itau Unibanco,brazil_equity,MR_EMA_Dist,mean_reversion,MR entry when price > 1.5 ATR from EMA50,0.9430,-0.0270,553.6000,151,0.3245,-0.8300,1.1140,0.0480,453.3000,198,0.3535,2.0800,FAIL,0.2669,FRAGILE,0.3760,-109.8000,882.3000,TRENDING,0.5563,0.0464,0.3510,0.0464
EURUSD,EUR/USD,forex,TF_Breakout_20,trend_follow,Breakout: close > max or < min of last 20 candles,0.7840,-0.1080,1329.2000,353,0.3314,-3.2000,0.8970,-0.0510,715.9000,411,0.3577,-1.2500,FAIL,0.2577,FRAGILE,0.0180,-1131.1000,2294.1000,TRENDING,0.5042,0.0595,0.3201,0.1161
IBOV,Ibovespa,index,TF_EMA_Slope,trend_follow,Trend follow: EMA20 slope direction + price above/below EMA20,1.0490,0.0220,10302.8000,146,0.3836,25.0800,1.1720,0.0700,17492.3000,181,0.4199,104.5600,OOS_PASS,0.2553,FRAGILE,0.6020,3675.7000,26644.6000,TRENDING,0.4658,0.0479,0.4521,0.0342
ITUB4,Itau Unibanco,brazil_equity,MR_BB_Stretch,mean_reversion,MR entry when price > 2.0 ATR from EMA50,0.8700,-0.0640,715.4000,127,0.3150,-1.9200,0.9850,-0.0070,475.9000,160,0.3375,-0.2900,FAIL,0.2537,FRAGILE,0.2380,-228.9000,880.8000,TRENDING,0.5512,0.0630,0.3307,0.0551
GOLD,Gold Futures,commodity,VOL_ATR_Expand,volatility,Enter in bias direction when ATR > 1.5x rolling mean,1.0780,0.0330,1179.9000,37,0.4595,6.8900,1.0850,0.0330,2274.2000,35,0.4000,16.5200,OOS_PASS,0.2515,FRAGILE,0.5840,328.3000,2402.2000,HIGH_VOLATILITY,0.0000,0.0000,1.0000,0.0000
PETR4,Petrobras,brazil_equity,MR_RSI_Exhaust,mean_reversion,MR entry at RSI < 30 (buy) or RSI > 70 (sell),0.7280,-0.1440,663.7000,105,0.2857,-5.2100,0.9890,-0.0050,550.4000,151,0.3377,-0.2100,FAIL,0.2513,FRAGILE,0.0580,-573.5000,1241.4000,TRENDING,0.6000,0.0952,0.2857,0.0190
EURUSD,EUR/USD,forex,TF_EMA_Slope,trend_follow,Trend follow: EMA20 slope direction + price above/below EMA20,0.8960,-0.0490,1016.5000,466,0.3627,-1.5100,1.1500,0.0650,261.6000,523,0.4168,1.6900,FAIL,0.2499,FRAGILE,0.1540,-695.8000,2108.7000,TRENDING,0.5086,0.0773,0.3240,0.0901
PETR4,Petrobras,brazil_equity,TF_Breakout_20,trend_follow,Breakout: close > max or < min of last 20 candles,0.8480,-0.0760,583.7000,92,0.3370,-3.8800,1.3550,0.1340,765.2000,114,0.4649,7.9200,FAIL,0.2425,FRAGILE,0.2540,-333.2000,1287.6000,TRENDING,0.6522,0.0435,0.3043,0.0000
EURUSD,EUR/USD,forex,VOL_Range_Bkout,volatility,Enter in bias direction after ATR compression (< 0.7x mean),0.8900,-0.0510,337.6000,198,0.2828,-0.8100,1.1290,0.0520,130.6000,156,0.3077,0.7800,FAIL,0.2421,FRAGILE,0.2520,-159.7000,655.0000,LOW_VOLATILITY,0.0000,0.0000,0.1616,0.8384
IBOV,Ibovespa,index,TF_Momentum,trend_follow,Trend follow: 10-bar momentum > 0.5x ATR,1.0450,0.0200,8746.4000,139,0.3813,23.1600,1.0440,0.0190,25284.7000,191,0.4084,27.9600,OOS_PASS,0.2400,FRAGILE,0.5560,2362.1000,26946.8000,TRENDING,0.4892,0.0432,0.4532,0.0144
GOLD,Gold Futures,commodity,MR_BB_Stretch,mean_reversion,MR entry when price > 2.0 ATR from EMA50,0.9270,-0.0320,3460.2000,410,0.3244,-4.6800,1.0120,0.0040,6371.8000,485,0.3010,1.4600,FAIL,0.2389,FRAGILE,0.2360,-2073.5000,8074.5000,TRENDING,0.5244,0.0537,0.3732,0.0488
NASDAQ,NASDAQ Futures,index,MR_RSI_Exhaust,mean_reversion,MR entry at RSI < 30 (buy) or RSI > 70 (sell),0.9120,-0.0360,3429.8000,390,0.3205,-4.5000,1.0220,0.0090,1521.8000,468,0.3419,1.0200,FAIL,0.2357,FRAGILE,0.2200,-1846.7000,6549.7000,TRENDING,0.4615,0.0462,0.3513,0.1410
EURUSD,EUR/USD,forex,VOL_ATR_Expand,volatility,Enter in bias direction when ATR > 1.5x rolling mean,1.0760,0.0320,240.1000,60,0.3333,0.9500,0.8450,-0.0770,214.7000,48,0.3333,-1.9100,DEGRADED,0.2340,FRAGILE,0.5440,26.4000,439.7000,HIGH_VOLATILITY,0.0000,0.0000,1.0000,0.0000
PETR4,Petrobras,brazil_equity,MR_BB_Stretch,mean_reversion,MR entry when price > 2.0 ATR from EMA50,0.8240,-0.0870,745.5000,136,0.3162,-3.3400,0.8910,-0.0490,1079.9000,176,0.3125,-2.1000,FAIL,0.2297,FRAGILE,0.1900,-420.9000,1314.7000,TRENDING,0.6471,0.0735,0.2647,0.0147
GOLD,Gold Futures,commodity,MR_RSI_Exhaust,mean_reversion,MR entry at RSI < 30 (buy) or RSI > 70 (sell),0.8310,-0.0730,5572.8000,372,0.2903,-12.2300,1.0750,0.0270,5922.9000,457,0.3326,9.6600,FAIL,0.2046,FRAGILE,0.0720,-4616.9000,10803.4000,TRENDING,0.5296,0.0699,0.3118,0.0887
GOLD,Gold Futures,commodity,VOL_Range_Bkout,volatility,Enter in bias direction after ATR compression (< 0.7x mean),0.6170,-0.2060,2111.5000,87,0.2644,-21.7900,1.2070,0.0720,2289.9000,75,0.3600,21.2400,FAIL,0.1953,FRAGILE,0.0180,-1868.8000,3604.6000,LOW_VOLATILITY,0.0000,0.0000,0.4023,0.5977
GOLD,Gold Futures,commodity,MR_EMA_Dist,mean_reversion,MR entry when price > 1.5 ATR from EMA50,0.8550,-0.0660,6576.9000,491,0.3198,-9.7300,0.9920,-0.0030,8964.4000,578,0.3062,-0.9800,FAIL,0.1916,FRAGILE,0.0780,-4683.1000,11275.8000,TRENDING,0.5642,0.0530,0.3503,0.0326
EURUSD,EUR/USD,forex,TF_Momentum,trend_follow,Trend follow: 10-bar momentum > 0.5x ATR,0.8060,-0.0960,1460.8000,475,0.3347,-2.8700,1.0680,0.0310,386.3000,549,0.3989,0.8000,FAIL,0.1718,FRAGILE,0.0140,-1403.2000,2603.9000,TRENDING,0.5305,0.0716,0.3032,0.0947
NASDAQ,NASDAQ Futures,index,TF_Breakout_20,trend_follow,Breakout: close > max or < min of last 20 candles,0.9560,-0.0190,2116.1000,322,0.3820,-3.1300,1.0340,0.0150,3131.5000,379,0.3905,2.2600,FAIL,0.1602,FRAGILE,0.4260,-699.3000,7131.5000,HIGH_VOLATILITY,0.4317,0.0155,0.4441,0.1087
PETR4,Petrobras,brazil_equity,MR_EMA_Dist,mean_reversion,MR entry when price > 1.5 ATR from EMA50,0.8330,-0.0830,787.9000,156,0.3205,-3.1200,0.9320,-0.0290,1151.6000,204,0.3088,-1.2800,FAIL,0.1030,FRAGILE,0.1400,-496.7000,1357.6000,TRENDING,0.6346,0.0641,0.2821,0.0192
PETR4,Petrobras,brazil_equity,VOL_ATR_Expand,volatility,Enter in bias direction when ATR > 1.5x rolling mean,1.4950,0.1660,45.1000,5,0.4000,11.8600,2.1400,0.3290,33.1000,6,0.5000,17.4900,OOS_PASS,0.0000,NO_TRADES,0.6640,62.2000,164.7000,HIGH_VOLATILITY,0.0000,0.0000,1.0000,0.0000
IBOV,Ibovespa,index,VOL_ATR_Expand,volatility,Enter in bias direction when ATR > 1.5x rolling mean,0.0000,-1357830000000.0000,0.0000,1,0.0000,-1357.8300,1.1020,0.0390,2532.6000,7,0.2857,79.1800,FAIL,0.0000,NO_TRADES,0.0000,0.0000,0.0000,HIGH_VOLATILITY,0.0000,0.0000,1.0000,0.0000
