hypothesis,group,avg_robustness,avg_pf_test,avg_pf_oos,avg_sharpe,n_pass,n_assets
MR_BB_Stretch,mean_reversion,0.4256,1.0275,0.9698,0.0050,2,6
MR_EMA_Dist,mean_reversion,0.4152,1.0230,1.0058,0.0040,2,6
MR_RSI_Exhaust,mean_reversion,0.4142,0.9882,1.0387,-0.0137,2,6
VOL_Range_Bkout,volatility,0.4065,1.7447,1.9947,0.0390,3,6
TF_Momentum,trend_follow,0.3842,1.0588,1.0443,0.0208,4,6
TF_EMA_Slope,trend_follow,0.3401,1.0552,1.1157,0.0208,3,6
VOL_ATR_Expand,volatility,0.2809,1.2465,1.0448,-226304999999.8732,3,6
TF_Breakout_20,trend_follow,0.2745,0.9400,1.0843,-0.0318,2,6
